Datetime,Tweet Id,Username,Location,Language,Hashtags,Text
2023-04-11 14:01:24+00:00,1645789146953437192,danizlemynizzle,next to your door,in,,b'@amanruang1 @babymutant22 yang penting taat minum obatnya dan jangan lupa untuk menjauhi seks bebas \xf0\x9f\x98\x8a'
2023-04-11 13:18:54+00:00,1645778451796983809,Nichola86370869,,in,,b'Full channel vidio  bokep   indo abg mesum viral'
2023-04-11 13:17:59+00:00,1645778219076026368,Nichola86370869,,in,,b'Bokep Indo Viral mesum\n\nbokep viral bokep'
2023-04-11 13:17:53+00:00,1645778193700507648,Nichola86370869,,in,,b'Full channel vidio  bokep   indo abg mesum viral'
2023-04-11 12:57:52+00:00,1645773157859749889,_anakyangbaik_,Indonesia,in,,b'Menonton bahaya pacaran + seks bebas https://t.co/luoQuGkqiQ'
2023-04-11 12:55:22+00:00,1645772527107723264,HaziqWahyu,Nomaden ,in,,"b'@sancinnabon Kenapa ya orang luar pada takut sama org yg nikah muda (dipanggil istilahnya pedo), tapi melegalkan seks bebas. Padahal nikah nggak hanya tentang seks.'"
2023-04-11 12:10:11+00:00,1645761158413160448,RaghibSakho,"Jakarta, Indonesia",in,,"b'Tepi jurang sekali, dan ga apple to apple.\n\nBahkan pendapat suatu kelompok yang paling konservatif pun tetap saja menyatakan bhw hubungan badan harus didahului dgn pernikahan yg sah, bukan seks bebas.'"
2023-04-11 11:30:41+00:00,1645751217275142146,kasatyo,,in,"['Agnesgracia', 'Agnes', 'AgnesGraciaHaryanto', 'mariodandy', 'davidozora', 'Shane', 'Rafael', 'PajakKitaUntukKita', 'pajak']","b'Terungkap Dalam Persidangan AG, Seks Bebas yang Mengejutkan https://t.co/JXNLvw5bsS\n#Agnesgracia #Agnes #AgnesGraciaHaryanto #mariodandy #davidozora #Shane #Rafael #PajakKitaUntukKita #pajak'"
2023-04-11 10:22:51+00:00,1645734146059427841,NiceBabble,,in,,b'Jaman sekarang rusaknya moral remaja karena hubungan seks bebas yang di anggap lumrah dikalangan remaja...'
2023-04-11 09:57:21+00:00,1645727729898377217,jpclotaine,Milky Way,in,,"b'@alltotlib Lol, ajaib banget kan, pas kritik seks bebas katanya ""seks bebas ga boleh meskipun masing2 setuju"", tapi pas ada org dewasa ngewe dengan anak di bawah umur, bilangnya ""yaaaa si anak juga mau, dia bukan batu yang bisa nerima aja"", wkwkwkwk logika lucu'"
2023-04-11 09:23:15+00:00,1645719147010203648,lurideath,minor dni. they/m. dnff.,in,,b'seks bebas'
2023-04-11 09:18:09+00:00,1645717864555618305,lulusanspsi,,in,,"b'@collegemenfess Pergaulan bebas ini perlu dibreakdown apa aja nder, karena kayanya term ini ga ada. Misal yg kamu maksud adalah seks berisiko, konsumsi alkohol, konsumsi rokok, konsumsi narkoba bisa masuk ke health risk behavior. Keywordnya \xe2\x80\x9chealth risk behavior prevention\xe2\x80\x9d'"
2023-04-11 08:49:02+00:00,1645710538503233539,KakFinaMembebel,Asia Pacific ,in,,b'@mSidekJ Eh? \xf0\x9f\xa4\x94\n\nJadi ada amalan seks bebas antara OKT dan pembuat laporan? \n\nKe apa ni? \nLain macam kesimpulan.'
2023-04-11 07:16:50+00:00,1645687332170010624,4d_h1m,Hindia Belanda,in,,"b'Malah jadi iklan seks bebas. Goblog nya netijen indon gini nih, ngeramein pereweannya doang.'"
2023-04-11 06:51:40+00:00,1645681001723748353,temmy_impact,"La Verne, CA",in,,"b'@learningholic @vegarant @mazzini_gsp Gak bisa. Di negara maju pun prilaku seks bebas ini udah jadi hal normal, yang bisa mencegah cuma dari keluarga, setidaknya mengawasi gerak gerik anak. Kalo 100% gak akan bisa hindari seks bebas usia dini ini, selama si pelaku yang berniat melakukan.'"
2023-04-11 06:36:48+00:00,1645677260043882496,minaa_262,,in,,b'@AREAJULID The real seks bebas\n.\n\xf0\x9f\x93\x8c https://t.co/ojUXQNa8M3 https://t.co/x2bkQcKyw7'
2023-04-11 05:58:05+00:00,1645667517418061825,caprinousgirl,,in,,"b'@tanyakanrl Kl aku si lebih ke orangtuaku ngasi aku kepercayaan buat ga ngelakuin hal diluar batas. Karna aku termasuk punya orangtua yg ga ngekang anaknya buat pulang sblm jam 10, dll. Dan budaya seks bebas bukan budaya keluargaku. Jd ya segimana mungkin ngejaga kepercayaan mereka si.'"
2023-04-11 05:56:42+00:00,1645667165998305281,Eigengrauf,Aku cewek. ,in,,"b'Disclaimer: bukan berarti aku mendukung seks bebas, hook up culture, sex be4 marriage, dan penggunaan trauma/masalah psikologis lainnya sbg alasan untk melanggar perintah allah.'"
2023-04-11 05:15:41+00:00,1645656845581967360,RXbajahitamBio,,in,,b'@blvd_hrj @vegarant @mazzini_gsp gak pelaku gimana2 sih. maksudnya beda kaya yg digambarin pas kejadian aja. dlu abis kejadian seliweran fotonya lagi ngaji gitu tp kenyataannya kan pelaku seks bebas juga.'
2023-04-11 05:08:37+00:00,1645655066127527937,Zkychll,Tangerang,in,,"b'@beefsaltedegg_ @Paltiwest Ada yang namanya pengetahuan kolektif, itu lu bisa pelajari dari orang"" sekitar tanpa harus merasakan contohnya lu tahu bahaya seks bebas dari orang yang terkena hiv lu bisa tanya"" bukan malah lu jadi ikutan ngewe gaya bebas. Aduh'"
2023-04-11 04:56:54+00:00,1645652118072856578,atinlogy,West Papua,in,,"b'@kafiradikalis pergaulan bebas, seks bebas idk tp sekelas david yg anak pesantren?? wowww'"
2023-04-11 04:44:40+00:00,1645649038438715394,noturtink,ǝʌɐ uooɯʎǝuoɥ | vernon❤️,in,,"b'@mai49113912 Selingkuh aja udah ga takut sama tuhan kak. Apalagi cuma HIV, \nDiliat dr banyak nya seks bebas, fwb sana sini, underage sex, hidung belang yg suka sewa sana sini apakah mereka concern Sama HIV? Apalagi yg cuma selingkuh or poligami resmi. Aneh'"
2023-04-11 04:39:26+00:00,1645647724384231425,Drllny,warga jek yang di Sunda empire,in,,"b'Ibu naruh harapan besar, katanya walau pun gak diwaris harta ya ilmu. Pas masuk SMA malah pernah dihina tetangga karena dibilang sok-sok an nyekolahin anak di SMA negeri ****\nKaya orang mampu aja. Jadi ibu ngewanti-wanti. Teteh jgn bikin masalah, seks bebas, ngerokok atau (cont..'"
2023-04-11 04:29:27+00:00,1645645212520415233,LindsayYonatan,"East Java, Indonesia",in,,"b'@HanumNuraini1 @Will_Syams @narkosun ga perlu heran sebetulnya, Jkt, jabar.. smp sudah pergaulan bebas. Jd ortu era sekarang harus siap dgn pendidikan seks dini'"
2023-04-11 03:44:29+00:00,1645633896225345536,ballashin_mma,,in,,b'Kecil-kecil sudah seks bebas'
2023-04-11 03:38:44+00:00,1645632446145368072,Aardiiiiy_,,in,,"b'Ditambah lagi, orang2 cenderung mudah komentar negatif. Padahal, kalau dilihat lagi, sebenernya ini nunjukin masalah lain, minimnya edukasi seksual. Kalo pun ada edukasi seksual, org2 tertentu malah pd blg klo hal itu justru bertujuan untuk dukung seks bebas \xf0\x9f\x98\x93'"
2023-04-11 02:53:41+00:00,1645621109411418113,pujadamayani,"Banda Aceh, Indonesia",in,,"b'@AREAJULID Wow ternyata Agnes udah di icik icik ehem sama Mario, duh masih 15 tahun padahal udah seks bebas, dunia sudah gila \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'"
2023-04-11 02:13:18+00:00,1645610949020352512,ujung_senja_,🌏,in,,"b""Aku nyoba untuk evaluasi :\n\xe2\x80\xa2Aku pake 'takut'. Harusnya 'lebih takut'. Ini bikin orang ngira aku membenarkan perilaku yang salah.\n\xe2\x80\xa2Orang mengira jadi gay = monyet. Seks bebas, seks, seks dan seks.\n\xe2\x80\xa2Gak semua orang ngalamin ketertarikan seksual sesama jenis, ini bisa dimaklumi."""
2023-04-11 01:29:44+00:00,1645599982563786752,PolresBatang_,,in,"['PolresBatang', 'PoldaJateng', 'Batang', 'OpsBinaKusumaCandi2023']",b'Mari bersama selamatkan Generasi Muda dari Narkoba dan Seks Bebas \n\n#PolresBatang #PoldaJateng #Batang #OpsBinaKusumaCandi2023 https://t.co/05rCs0dioZ'
2023-04-11 01:07:51+00:00,1645594478265372673,flamierngyu,"+62 , +82 ",in,,b'@cutieverngyu 5x seks bebas tuh gmn nad wkwkw aku kayanya loading kepalanya'
2023-04-11 01:06:23+00:00,1645594109397311488,kasamago,https://kasamago.com,in,,"b'@RagilSemar Beratnya peran ortu nih.. Harusnya menjaga pergaulan anak nya dari Seks bebas, narkoba, Ajaran Sesat, Mihol, Bullying dll.. Itulah pentingnya membesarkan anak dg Harta yang Halal, agar Allah SWT memberikan keberkahan dalam mendidik anak anak kita.. Dunia adlh gab Neraka dan Surga'"
2023-04-11 00:39:04+00:00,1645587231640522752,ma2mialzts,,in,,"b'Banyak bngt kasus berawal dr seks bebas,pembuktian kalo seks bebas itu banyak mudharat nya..\nTp kenapa saat ada yg ceramah \n""Jauhi zinah""...\nEh malah di serang sjw sales kondom berkedok open minded dngn alasan macem\xc2\xb2...\nPling template ""gk ush bawa\xc2\xb2 agama lu"" \xf0\x9f\x98\xad'"
2023-04-10 23:22:25+00:00,1645567945064722432,finn6060,Surabaya,in,,"b'@tehsusubobaa @MajorLogic @ariryantama @unmagnetism Aku di sini nggak bahas kasus agnesnya kak, justru aku nggak setuju sama pernyataan dimana feminisme dikaitkan sama seks bebas remajanya itu, banyak yg salah mengartikan kalo feminisme membenarkan seks bebas itu sendiri.'"
2023-04-10 21:47:59+00:00,1645544178338902017,chikgwa,kwangya,in,,b'WOY ADUHHH LAGU SEKS BEBAS KEDUA \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2 not cute https://t.co/wQogB6Kk2r'
2023-04-10 21:35:27+00:00,1645541024100671488,Jafar_Bahloul,,in,,"b'@Midjan_La_2 belum jadi anak tuhan kalau belum judi, mabok, dan seks bebas\n\nhalelulululul nalar ga jalan'"
2023-04-10 21:17:13+00:00,1645536434563223552,sopesnoona,ARMY,in,,"b'@beefsaltedegg_ @Paltiwest Sy msh abg dlu nakal, pergaulan lumayan bebas tp ttp menjauhi hal2 yg dilarang agama yaitu seks, narkoba dan alkohol. Cm cukup tau aja krn ngeliat jg wlw ga terlibat jd sy tau celah2nya'"
2023-04-10 20:40:54+00:00,1645527294239477761,Catatan_ali7,"Klaten, Jawa Tengah",in,,b'@tanyakanrl Belasan tahun udah pada seks bebas gua seusia itu lagi lucu lucu nya \xf0\x9f\x98\x8c https://t.co/xREgaFnaiW'
2023-04-10 19:35:58+00:00,1645510955399548929,PetrusAliShiwa,,in,,b'@bornfreeonemwah @xvhydn @txtdrimedia Duta Seks bebas'
2023-04-10 19:14:04+00:00,1645505445375926272,RAJMAurinho,Suroboyo,in,,"b'@beefsaltedegg_ @Paltiwest definisi nakal disini = seks bebas?\njadi kakaknya sudah kenyang seks bebas?\n\nkalau slepet apanya slempit?\njadi kalau macem2, dislepet'"
2023-04-10 19:08:03+00:00,1645503930544300032,finn6060,Surabaya,in,,"b'@niellshelby @ariryantama @unmagnetism Jika saya posisikan sbg diri saya, saya punya hak untuk memutuskan apa\xc2\xb2 yg baik untuk diri saya &amp; seks bebas tidak termasuk dalam ""apa\xc2\xb2 yg baik untuk diri saya"", maka saya putuskan untuk tidak melakukannya karena saya bertanggung jawab atas keputusan saya sendiri untuk tubuh saya'"
2023-04-10 19:04:28+00:00,1645503026294329347,finn6060,Surabaya,in,,"b'@niellshelby @ariryantama @unmagnetism Dan ini yg biasanya disalah-artikan sama orang\xc2\xb2 kalo feminisme itu mendukung seks bebas karena your body your choice, padahal tiap individu punya hak memutuskan sendiri apakah hal itu termasuk hal\xc2\xb2 yg baik bagi tubuhnya sendiri?'"
2023-04-10 18:24:31+00:00,1645492972769923073,niellshelby,telapak kaki ibu,in,,b'@finn6060 @ariryantama @unmagnetism kalo seks bebas dg consent tu masuk ranah feminisme ga kak?'
2023-04-10 18:13:22+00:00,1645490168428912640,sinosijac,she/her,in,,"b'KAYAK WHATS WRONG WITH BEING VIRGIN IN 30S terlebih lagi mbaknya muslim, di muslim dilarang keras kan seks bebas...'"
2023-04-10 17:39:55+00:00,1645481748980174848,aldi23231,,in,"['chatseks', 'hijabcrot', 'SANGE_AAAAAAAAAA', 'sangeberat', 'malamjumat', 'malamjumatcrot', 'maljum', 'chatngentot', 'binor', 'binortetangga', 'stepmom', 'momfriends']",b'Chat seks yuk\nAlur bebas\nNgobrol nakal boleh\n#chatseks #hijabcrot #SANGE_AAAAAAAAAA #sangeberat #malamjumat #malamjumatcrot #maljum #chatngentot #binor #binortetangga #stepmom #momfriends'
2023-04-10 16:29:27+00:00,1645464017509683200,OwiOwl1,warga jawa Selatan,in,,"b'@vegarant @mazzini_gsp Gila anak 15 tahun perilakunya seks bebas , didikan siapa itu? Beginilah anak yg dikasi makan uang haram \xf0\x9f\x98\xad'"
2023-04-10 16:23:25+00:00,1645462498836094976,Jenhelloww,FA,in,,"b'Jaman SMP gue jg badung sih bahkan temen temen gue ada yg ketangkep krna jd bandar narkoba dan seks bebas jg hal wajar mungkin di jakarta, tp gue ttp kaget klo ada anak umur 15tahun dah ngewe 5 kali\xf0\x9f\xa5\xb2'"
2023-04-10 16:12:46+00:00,1645459817606283266,Mjee_msy,Indonesia,in,,"b'@AltoLuger Ternyata perkara apem mentah. Bedanya yg satu dianggap pelaku, yang satu lagi dianggap korban. Statusnya sama sama pelaku seks bebas'"
2023-04-10 15:57:33+00:00,1645455988148015104,Mjee_msy,Indonesia,in,,b'@CecepLagi @tempodotco Korbannya juga pelaku seks bebas ya'
2023-04-10 15:47:21+00:00,1645453422341267456,duwweng,,in,,"b'Bner ya berarti pas bpak gw bilang tujuan cwo nikah ya buat ngwe doang, gw kira dia ngejokes taunya beneran. Untung aja bpak gw ga menganut sistem seks bebas jadi ya nerapin ke anak2nya mesti nikah dulu klo mau ngwe.'"
2023-04-10 15:10:56+00:00,1645444257992286210,MrsAAkm,atas bumi,in,,b'@natsume142 @ibjela Pergi test dekat hospital. Idk lah proses macam mana boleh tanya. Mintak nak test STD sebab cth ada bukti partner buat aktiviti seks bebas. Idk why the other guy keep on gunakan hadis n ect dalam kes ni.'
2023-04-10 14:49:59+00:00,1645438986914254851,indasahkurnia,"Yogyakarta, Indonesia",in,,"b'@ovicream Curhatan ibu-ibu muda di forum ibu hamil, banyak yg ngeluh suaminya nggak perhatian, nggak mau antar periksa, dll. Terus ada yg reply kalau itu propaganda OP agar orang-orang nggak nikah dan seks bebas \xf0\x9f\x98\x82\nPadahal OP literally bersuami wong ya masuk komunitas ibu hamil.'"
2023-04-10 14:06:10+00:00,1645427958646206466,urluuvee,,in,,"b'\xe2\x80\x9cbuset dia kan arab bat, masa si seks bebas\xe2\x80\x9d MARDIII\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'"
2023-04-10 14:06:00+00:00,1645427914446610432,zorolawz,a CyberFanAccount.,in,,"b""Masih agak didn't get the point. \n\nTapi betul, kehidupan seks bebas di jaman 'abg' SMP yang masih mencari jati diri itu rentan bangett karena dia sedang dalam masa meng-eksplor diri dan lingkungannya."""
